Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg
1990,-0.42,-1.28,-1.24,-0.15,-0.32,-0.25,-0.31,-0.43,-0.26,-1.16,-1.88,-2.22,-0.826666667
1991,-1.8,-1.09,-1.11,-1.63,-1.65,-2.25,-1.57,-0.58,0.37,0.41,0.56,-0.21,-0.879166667
1992,0.08,0.17,0.12,0.55,1.26,1.22,1.5,0.85,0.45,1.28,1.31,0.33,0.76
1993,-0.28,0.02,0.24,1,1.79,2.05,1.48,1.96,1.15,1.31,1.13,0.67,1.043333333
1994,0.85,0.33,0.27,0.49,0.55,0.1,-0.91,-0.88,-1.51,-1.06,-1.93,-2.22,-0.493333333
1995,-0.86,0.02,0.46,0.49,0.89,1.03,1,-0.11,1.22,0.64,0.05,0.44,0.439166667
1996,1.01,1.01,0.85,1.37,2.13,1.1,0.57,-0.66,0.07,0.4,0.38,-0.03,0.683333333
1997,0.44,0.29,0.39,0.73,1.59,2.55,1.49,2.27,1.8,1.78,1.48,0.99,1.316666667
1998,1.05,1.52,1.29,0.03,-0.83,-0.78,-1.16,-0.87,-1.7,-2.23,-0.97,-1.09,-0.478333333
1999,-0.78,-1.06,-1.18,-1.85,-2.32,-2.34,-1.87,-1.84,-2.24,-2.54,-2.18,-1.92,-1.843333333
2000,-2.2,-1.28,-0.66,-0.63,-0.81,-0.64,-1.51,-1.68,-1.45,-1.61,-1.04,0,-1.125833333
2001,0.48,-0.01,-0.41,-1.18,-1.12,-1.22,-2.21,-1.68,-1.98,-1.91,-1.25,-1.12,-1.134166667
2002,-0.42,-1.51,-1.27,-1.23,-1.3,-1.18,-0.71,0.11,-0.21,-0.2,1.08,1.57,-0.439166667
2003,1.45,1.23,1.01,0.36,0.21,-0.42,0.37,0.63,-0.17,0.74,-0.23,-0.6,0.381666667
2004,-0.55,-0.21,-0.15,0,0.61,-0.11,0.04,0.24,0.02,-0.72,-1.22,-0.64,-0.224166667
2005,-0.15,-0.01,0.7,0.28,1.36,0.85,0.11,-0.42,-0.99,-2,-1.89,-0.1,-0.188333333
2006,0.54,0.38,-0.74,-0.54,-0.37,0.21,0.39,-0.85,-1.54,-0.46,-0.81,-0.42,-0.350833333
2007,-0.69,-0.71,-1.1,-0.46,-0.29,-0.07,0.43,0.09,-0.97,-2.33,-1.46,-0.87,-0.7025
2008,-1.5,-1.46,-1.26,-1.79,-1.62,-1.85,-1.96,-1.85,-1.87,-1.9,-1.59,-1.31,-1.663333333
2009,-1.81,-1.78,-2.06,-2.23,-1.32,-0.73,-0.71,-0.49,0.33,-0.13,-0.94,-0.51,-1.031666667
