Hypothesis,Feeding,Breeding,Method,Direction,Estimate,CV,lowerCI,upperCI,InputData
B2F1,SEA+NBC,Hawaii,Genetics,FeedingtoBreeding,0.9956,,0.963,1,mtDNA+usat
B2F1,SBC+WA,Hawaii,Genetics,FeedingtoBreeding,0.416,,0.217,0.547,mtDNA+usat
B2F1,OR+CA,Hawaii,Genetics,FeedingtoBreeding,0.0213,,0,0.105,mtDNA+usat
B2F1,RUS+WAL,MX_AR,Genetics,FeedingtoBreeding,0.1756,,0.025,0.308,mtDNA+usat
B2F1,EAL+BER,MX_AR,Genetics,FeedingtoBreeding,0.2809,,0.172,0.384,mtDNA+usat
B2F1,GOA,MX_AR,Genetics,FeedingtoBreeding,0.2507,,0.169,0.328,mtDNA+usat
B2F1,SEA+NBC,MX_AR,Genetics,FeedingtoBreeding,0.0044,,0,0.033,mtDNA+usat
B2F1,SBC+WA,MX_AR,Genetics,FeedingtoBreeding,0.0433,,0,0.375,mtDNA+usat
B2F1,OR+CA,MX_AR,Genetics,FeedingtoBreeding,0.1272,,0.056,0.298,mtDNA+usat
B2F1,RUS+WAL,MX_ML,Genetics,FeedingtoBreeding,0,,0,0.096,mtDNA+usat
B2F1,EAL+BER,MX_ML,Genetics,FeedingtoBreeding,0.048,,0.008,0.143,mtDNA+usat
B2F1,GOA,MX_ML,Genetics,FeedingtoBreeding,0.0353,,0.004,0.117,mtDNA+usat
B2F1,SEA+NBC,MX_ML,Genetics,FeedingtoBreeding,0,,0,0.014,mtDNA+usat
B2F1,SBC+WA,MX_ML,Genetics,FeedingtoBreeding,0.2838,,0.061,0.511,mtDNA+usat
B2F1,OR+CA,MX_ML,Genetics,FeedingtoBreeding,0.2513,,0.14,0.462,mtDNA+usat
B2F1,RUS+WAL,Central_Am,Genetics,FeedingtoBreeding,0,,0,0.085,mtDNA+usat
B2F1,EAL+BER,Central_Am,Genetics,FeedingtoBreeding,0.0785,,0.018,0.138,mtDNA+usat
B2F1,GOA,Central_Am,Genetics,FeedingtoBreeding,0.0386,,0.006,0.074,mtDNA+usat
B2F1,SEA+NBC,Central_Am,Genetics,FeedingtoBreeding,0,,0,0.005,mtDNA+usat
B2F1,SBC+WA,Central_Am,Genetics,FeedingtoBreeding,0.2569,,0.035,0.363,mtDNA+usat
B2F1,OR+CA,Central_Am,Genetics,FeedingtoBreeding,0.6002,,0.335,0.659,mtDNA+usat
B2F2,RUS+WAL,Asia,Genetics,BreedingtoFeeding,0.9326,,0.59,0.924,mtDNA
B2F2,RUS+WAL,Hawaii,Genetics,BreedingtoFeeding,0,,0,0.012,mtDNA
B2F2,RUS+WAL,MX_AR,Genetics,BreedingtoFeeding,0.0834,,0.003,0.221,mtDNA
B2F2,RUS+WAL,MX_ML,Genetics,BreedingtoFeeding,0.1212,,0,0.249,mtDNA
B2F2,RUS+WAL,Central_Am,Genetics,BreedingtoFeeding,0.0081,,0,0.311,mtDNA
B2F2,EAL+BER+WGOA,Asia,Genetics,BreedingtoFeeding,0.0023,,0,0.357,mtDNA
B2F2,EAL+BER+WGOA,Hawaii,Genetics,BreedingtoFeeding,0.21,,0,0.468,mtDNA
B2F2,EAL+BER+WGOA,MX_AR,Genetics,BreedingtoFeeding,0.8937,,0.536,0.954,mtDNA
B2F2,EAL+BER+WGOA,MX_ML,Genetics,BreedingtoFeeding,0.4055,,0.206,0.554,mtDNA
B2F2,EAL+BER+WGOA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.001,mtDNA
B2F2,NGOA,Asia,Genetics,BreedingtoFeeding,0.0651,,0,0.221,mtDNA
B2F2,NGOA,Hawaii,Genetics,BreedingtoFeeding,0.289,,0,0.561,mtDNA
B2F2,NGOA,MX_AR,Genetics,BreedingtoFeeding,0,,0,0.292,mtDNA
B2F2,NGOA,MX_ML,Genetics,BreedingtoFeeding,0,,0,0.036,mtDNA
B2F2,NGOA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B2F2,SEA+NBC,Asia,Genetics,BreedingtoFeeding,0,,0,0.082,mtDNA
B2F2,SEA+NBC,Hawaii,Genetics,BreedingtoFeeding,0.5006,,0.35,0.666,mtDNA
B2F2,SEA+NBC,MX_AR,Genetics,BreedingtoFeeding,0.008,,0,0.09,mtDNA
B2F2,SEA+NBC,MX_ML,Genetics,BreedingtoFeeding,0,,0,0.063,mtDNA
B2F2,SEA+NBC,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B2F2,SBC+WA,Asia,Genetics,BreedingtoFeeding,0,,0,0.129,mtDNA
B2F2,SBC+WA,Hawaii,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B2F2,SBC+WA,MX_AR,Genetics,BreedingtoFeeding,0.015,,0,0.063,mtDNA
B2F2,SBC+WA,MX_ML,Genetics,BreedingtoFeeding,0.0922,,0,0.199,mtDNA
B2F2,SBC+WA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.002,mtDNA
B2F2,OR+CA,Asia,Genetics,BreedingtoFeeding,0,,0,0.092,mtDNA
B2F2,OR+CA,Hawaii,Genetics,BreedingtoFeeding,0.0003,,0,0.093,mtDNA
B2F2,OR+CA,MX_AR,Genetics,BreedingtoFeeding,0,,0,0.025,mtDNA
B2F2,OR+CA,MX_ML,Genetics,BreedingtoFeeding,0.3811,,0.252,0.519,mtDNA
B2F2,OR+CA,Central_Am,Genetics,BreedingtoFeeding,0.9918,,0.689,1,mtDNA
B2F2,RUS+WAL,Asia,Genetics,FeedingtoBreeding,0.6314,,0.481,0.751,mtDNA+usat
B2F2,EAL+BER+WGOA,Asia,Genetics,FeedingtoBreeding,0.1047,,0.067,0.158,mtDNA+usat
B2F2,NGOA,Asia,Genetics,FeedingtoBreeding,0.0464,,0.014,0.093,mtDNA+usat
B2F2,SEA+NBC,Asia,Genetics,FeedingtoBreeding,0,,0,0.008,mtDNA+usat
B2F2,SBC+WA,Asia,Genetics,FeedingtoBreeding,0,,0,0.159,mtDNA+usat
B2F2,OR+CA,Asia,Genetics,FeedingtoBreeding,0,,0,0.036,mtDNA+usat
B2F2,RUS+WAL,Hawaii,Genetics,FeedingtoBreeding,0.1929,,0.067,0.319,mtDNA+usat
B2F2,EAL+BER+WGOA,Hawaii,Genetics,FeedingtoBreeding,0.4555,,0.365,0.524,mtDNA+usat
B2F2,NGOA,Hawaii,Genetics,FeedingtoBreeding,0.735,,0.627,0.797,mtDNA+usat
B2F2,SEA+NBC,Hawaii,Genetics,FeedingtoBreeding,0.9956,,0.965,1,mtDNA+usat
B2F2,SBC+WA,Hawaii,Genetics,FeedingtoBreeding,0.416,,0.21,0.547,mtDNA+usat
B2F2,OR+CA,Hawaii,Genetics,FeedingtoBreeding,0.0213,,0,0.107,mtDNA+usat
B2F2,RUS+WAL,MX_AR,Genetics,FeedingtoBreeding,0.1756,,0.02,0.307,mtDNA+usat
B2F2,EAL+BER+WGOA,MX_AR,Genetics,FeedingtoBreeding,0.3324,,0.225,0.407,mtDNA+usat
B2F2,NGOA,MX_AR,Genetics,FeedingtoBreeding,0.1514,,0.087,0.251,mtDNA+usat
B2F2,SEA+NBC,MX_AR,Genetics,FeedingtoBreeding,0.0044,,0,0.031,mtDNA+usat
B2F2,SBC+WA,MX_AR,Genetics,FeedingtoBreeding,0.0433,,0,0.374,mtDNA+usat
B2F2,OR+CA,MX_AR,Genetics,FeedingtoBreeding,0.1272,,0.057,0.299,mtDNA+usat
B2F2,RUS+WAL,MX_ML,Genetics,FeedingtoBreeding,0,,0,0.097,mtDNA+usat
B2F2,EAL+BER+WGOA,MX_ML,Genetics,FeedingtoBreeding,0.0427,,0.017,0.141,mtDNA+usat
B2F2,NGOA,MX_ML,Genetics,FeedingtoBreeding,0.0367,,0,0.102,mtDNA+usat
B2F2,SEA+NBC,MX_ML,Genetics,FeedingtoBreeding,0,,0,0.014,mtDNA+usat
B2F2,SBC+WA,MX_ML,Genetics,FeedingtoBreeding,0.2838,,0.057,0.513,mtDNA+usat
B2F2,OR+CA,MX_ML,Genetics,FeedingtoBreeding,0.2513,,0.144,0.462,mtDNA+usat
B2F2,RUS+WAL,Central_Am,Genetics,FeedingtoBreeding,0,,0,0.087,mtDNA+usat
B2F2,EAL+BER+WGOA,Central_Am,Genetics,FeedingtoBreeding,0.0647,,0.02,0.112,mtDNA+usat
B2F2,NGOA,Central_Am,Genetics,FeedingtoBreeding,0.0304,,0,0.071,mtDNA+usat
B2F2,SEA+NBC,Central_Am,Genetics,FeedingtoBreeding,0,,0,0.006,mtDNA+usat
B2F2,SBC+WA,Central_Am,Genetics,FeedingtoBreeding,0.2569,,0.032,0.364,mtDNA+usat
B2F2,OR+CA,Central_Am,Genetics,FeedingtoBreeding,0.6002,,0.335,0.657,mtDNA+usat
B1F1,RUS+WAL,Asia,Genetics,BreedingtoFeeding,0.872,,0.564,0.902,mtDNA
B1F1,RUS+WAL,Hawaii,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B1F1,RUS+WAL,Mexico,Genetics,BreedingtoFeeding,0.1359,,0.048,0.233,mtDNA
B1F1,RUS+WAL,Central_Am,Genetics,BreedingtoFeeding,0.0079,,0,0.314,mtDNA
B1F1,EAL+BER,Asia,Genetics,BreedingtoFeeding,0.128,,0,0.387,mtDNA
B1F1,EAL+BER,Hawaii,Genetics,BreedingtoFeeding,0.3835,,0.065,0.488,mtDNA
B1F1,EAL+BER,Mexico,Genetics,BreedingtoFeeding,0.3209,,0.09,0.578,mtDNA
B1F1,EAL+BER,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.001,mtDNA
B1F1,GOA,Asia,Genetics,BreedingtoFeeding,0,,0,0.23,mtDNA
B1F1,GOA,Hawaii,Genetics,BreedingtoFeeding,0.0294,,0,0.404,mtDNA
B1F1,GOA,Mexico,Genetics,BreedingtoFeeding,0.32,,0.053,0.515,mtDNA
B1F1,GOA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B1F1,SEA+NBC,Asia,Genetics,BreedingtoFeeding,0,,0,0.079,mtDNA
B1F1,SEA+NBC,Hawaii,Genetics,BreedingtoFeeding,0.5871,,0.451,0.689,mtDNA
B1F1,SEA+NBC,Mexico,Genetics,BreedingtoFeeding,0,,0,0.045,mtDNA
B1F1,SEA+NBC,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B1F1,SBC+WA,Asia,Genetics,BreedingtoFeeding,0,,0,0.123,mtDNA
B1F1,SBC+WA,Hawaii,Genetics,BreedingtoFeeding,0,,0,0.001,mtDNA
B1F1,SBC+WA,Mexico,Genetics,BreedingtoFeeding,0.0379,,0,0.115,mtDNA
