Hypothesis,Feeding,Breeding,Method,Direction,Estimate,CV,lowerCI,upperCI,InputData
B1F1,OR+CA,Mexico,Mark-Recapture,FeedingtoBreeding,0.604,0.166,,,
B1F1,OR+CA,Central_Am,Mark-Recapture,FeedingtoBreeding,0.396,0.252,,,
B1F1,RUS+WAL,Asia,Mark-Recapture,BreedingtoFeeding,0.959,0.042,,,
B1F1,EAL+BER,Asia,Mark-Recapture,BreedingtoFeeding,0.041,0.971,,,
B1F1,GOA,Asia,Mark-Recapture,BreedingtoFeeding,0,5.443,,,
B1F1,SEA+NBC,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,SBC+WA,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,OR+CA,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,RUS+WAL,Hawaii,Mark-Recapture,BreedingtoFeeding,0.006,0.687,,,
B1F1,EAL+BER,Hawaii,Mark-Recapture,BreedingtoFeeding,0.107,0.267,,,
B1F1,GOA,Hawaii,Mark-Recapture,BreedingtoFeeding,0.075,0.178,,,
B1F1,SEA+NBC,Hawaii,Mark-Recapture,BreedingtoFeeding,0.801,0.04,,,
B1F1,SBC+WA,Hawaii,Mark-Recapture,BreedingtoFeeding,0.011,0.371,,,
B1F1,OR+CA,Hawaii,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,RUS+WAL,Mexico,Mark-Recapture,BreedingtoFeeding,0.003,1.329,,,
B1F1,EAL+BER,Mexico,Mark-Recapture,BreedingtoFeeding,0.597,0.09,,,
B1F1,GOA,Mexico,Mark-Recapture,BreedingtoFeeding,0.085,0.227,,,
B1F1,SEA+NBC,Mexico,Mark-Recapture,BreedingtoFeeding,0.065,0.283,,,
B1F1,SBC+WA,Mexico,Mark-Recapture,BreedingtoFeeding,0.034,0.393,,,
B1F1,OR+CA,Mexico,Mark-Recapture,BreedingtoFeeding,0.215,0.209,,,
B1F1,RUS+WAL,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,EAL+BER,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,GOA,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,SEA+NBC,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B1F1,SBC+WA,Central_Am,Mark-Recapture,BreedingtoFeeding,0.037,0.731,,,
B1F1,OR+CA,Central_Am,Mark-Recapture,BreedingtoFeeding,0.963,0.029,,,
